command,mean,stddev,median,user,system,min,max,parameter_N
./target/release/free_body_1d_bruteforce 60,0.0004135174024123879,0.00011428479112766089,0.0003991238799999999,0.0007139185982070096,0.00034406102689486584,0.00018244887999999972,0.0009097118799999996,60
./target/release/free_body_1d_bruteforce 120,0.000674911207062229,0.0001318268161151216,0.0006699083799999999,0.000847231374819103,0.0004045621997105643,0.00040494187999999976,0.0013051508799999997,120
./target/release/free_body_1d_bruteforce 180,0.0010391526375250829,0.00012836052655309252,0.0010198108799999999,0.0010236805016722416,0.0005840370568561877,0.0006769448799999996,0.0020412538799999998,180
./target/release/free_body_1d_bruteforce 240,0.0015379017239125906,0.00014730112944147424,0.00151074988,0.0011783485535900094,0.0009647098855359003,0.0012079038799999997,0.00267775388,240
./target/release/free_body_1d_bruteforce 300,0.0021404698425603846,0.00015775365938078525,0.0021149233799999997,0.0016118921739130437,0.001098029251207729,0.0016916498799999999,0.00320249788,300
./target/release/free_body_1d_bruteforce 360,0.0029191175899697885,0.00018297364906617972,0.00288952788,0.0019070279154078556,0.0014978104531722055,0.00241712788,0.005191758879999999,360
./target/release/free_body_1d_bruteforce 420,0.0038965385614516115,0.00022481792309166058,0.00385588788,0.0023637816129032257,0.0019779247580645164,0.0033678298799999997,0.0059338878800000005,420
./target/release/free_body_1d_bruteforce 480,0.004897933469632828,0.00020404563444984317,0.004861777879999999,0.0030645530021598285,0.0019902358099352048,0.0044673948799999995,0.00569020588,480
./target/release/free_body_1d_bruteforce 540,0.006014642601179628,0.0002516644212746785,0.00597237888,0.0035694760321715825,0.0025446168364611247,0.00556011788,0.00678874288,540
./target/release/free_body_1d_bruteforce 600,0.00743185243988024,0.0002720143367965369,0.007402308880000001,0.004359981197604789,0.0031726902994011984,0.00686214588,0.00874642288,600
